,ID,Host Since,property_type,city_orig,state_orig,country_code,Country,Latitude,Longitude,postal_code,Geolocation,host_since_year,City,State,zip_latitude,zip_longitude
112,6510407,2015-05-23,Loft,Paris,Île-de-France,FR,France,48.87766209044226,2.385128464686428,75019,"48.87766209044226, 2.385128464686428",2015.0,Paris,Île-de-France,48.8534,2.3488
113,6510407,2015-05-23,Loft,Paris,Île-de-France,FR,France,48.87766209044226,2.385128464686428,75019,"48.87766209044226, 2.385128464686428",2015.0,Paris 19,Île-de-France,48.8817,2.3822
114,229351,2011-08-29,House,Paris,Île-de-France,FR,France,48.88732842321842,2.3836975319853977,75019,"48.88732842321842, 2.3836975319853977",2011.0,Paris,Île-de-France,48.8534,2.3488
115,229351,2011-08-29,House,Paris,Île-de-France,FR,France,48.88732842321842,2.3836975319853977,75019,"48.88732842321842, 2.3836975319853977",2011.0,Paris 19,Île-de-France,48.8817,2.3822
116,3599795,2014-07-15,House,Paris,Île-de-France,FR,France,48.87687991357571,2.4003359188977345,75019,"48.87687991357571, 2.4003359188977345",2014.0,Paris,Île-de-France,48.8534,2.3488
117,3599795,2014-07-15,House,Paris,Île-de-France,FR,France,48.87687991357571,2.4003359188977345,75019,"48.87687991357571, 2.4003359188977345",2014.0,Paris 19,Île-de-France,48.8817,2.3822
118,773471,2010-02-01,Apartment,Paris,Île-de-France,FR,France,48.885009717611425,2.382328191330569,75019,"48.885009717611425, 2.382328191330569",2010.0,Paris,Île-de-France,48.8534,2.3488
119,773471,2010-02-01,Apartment,Paris,Île-de-France,FR,France,48.885009717611425,2.382328191330569,75019,"48.885009717611425, 2.382328191330569",2010.0,Paris 19,Île-de-France,48.8817,2.3822
120,6247516,2013-04-10,Loft,Paris,Île-de-France,FR,France,48.87789081578443,2.3835388038595373,75019,"48.87789081578443, 2.3835388038595373",2013.0,Paris,Île-de-France,48.8534,2.3488
121,6247516,2013-04-10,Loft,Paris,Île-de-France,FR,France,48.87789081578443,2.3835388038595373,75019,"48.87789081578443, 2.3835388038595373",2013.0,Paris 19,Île-de-France,48.8817,2.3822
122,8845334,2015-05-11,Other,Paris,Île-de-France,FR,France,48.879232777286184,2.2827654299052553,75017,"48.879232777286184, 2.2827654299052553",2015.0,Paris,Île-de-France,48.8534,2.3488
123,8845334,2015-05-11,Other,Paris,Île-de-France,FR,France,48.879232777286184,2.2827654299052553,75017,"48.879232777286184, 2.2827654299052553",2015.0,Paris 17,Île-de-France,48.8835,2.3219
124,36724,2010-01-22,Apartment,Paris,Île-de-France,FR,France,48.88098569243963,2.394057110792643,75019,"48.88098569243963, 2.394057110792643",2010.0,Paris,Île-de-France,48.8534,2.3488
125,2954203,2013-04-24,House,Paris,Île-de-France,FR,France,48.88107558899813,2.393524935725938,75019,"48.88107558899813, 2.393524935725938",2013.0,Paris,Île-de-France,48.8534,2.3488
126,2954203,2013-04-24,House,Paris,Île-de-France,FR,France,48.88107558899813,2.393524935725938,75019,"48.88107558899813, 2.393524935725938",2013.0,Paris 19,Île-de-France,48.8817,2.3822
127,9243884,2012-04-17,House,Paris,Île-de-France,FR,France,48.877135168716194,2.3933975059762,75019,"48.877135168716194, 2.3933975059762",2012.0,Paris,Île-de-France,48.8534,2.3488
128,9243884,2012-04-17,House,Paris,Île-de-France,FR,France,48.877135168716194,2.3933975059762,75019,"48.877135168716194, 2.3933975059762",2012.0,Paris 19,Île-de-France,48.8817,2.3822
129,6383373,2014-02-17,Condominium,Paris,Île-de-France,FR,France,48.877058425329146,2.3878467980523888,75019,"48.877058425329146, 2.3878467980523888",2014.0,Paris,Île-de-France,48.8534,2.3488
130,6383373,2014-02-17,Condominium,Paris,Île-de-France,FR,France,48.877058425329146,2.3878467980523888,75019,"48.877058425329146, 2.3878467980523888",2014.0,Paris 19,Île-de-France,48.8817,2.3822
131,16991660,2017-01-29,Apartment,"Paris, Île-de-France, FR",Paris,FR,France,48.87793011067611,2.3424557849263055,75009,"48.87793011067611, 2.3424557849263055",2017.0,Paris 09,Île-de-France,48.8718,2.3399
132,13869179,2013-12-01,House,Paris,Île-de-France,FR,France,48.85110071396929,2.311031229051853,75007,"48.85110071396929, 2.311031229051853",2013.0,Paris 07,Île-de-France,48.8565,2.321
133,13869179,2013-12-01,House,Paris,Île-de-France,FR,France,48.85110071396929,2.311031229051853,75007,"48.85110071396929, 2.311031229051853",2013.0,Paris,Île-de-France,48.8534,2.3488
134,10541166,2012-11-26,Loft,Paris,Île-de-France,FR,France,48.85914117471819,2.3024949864312423,75007,"48.85914117471819, 2.3024949864312423",2012.0,Paris 07,Île-de-France,48.8565,2.321
135,10541166,2012-11-26,Loft,Paris,Île-de-France,FR,France,48.85914117471819,2.3024949864312423,75007,"48.85914117471819, 2.3024949864312423",2012.0,Paris,Île-de-France,48.8534,2.3488
136,13613750,2016-06-09,Guesthouse,Paris,Île-de-France,FR,France,48.85915892186365,2.2999297555843135,75007,"48.85915892186365, 2.2999297555843135",2016.0,Paris 07,Île-de-France,48.8565,2.321
